seller_id,product_name,product_id,buyer_id,product_rating,product_price
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,479,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,317,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,224,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,1144,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,317,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,53,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,16,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,251,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,424,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,331,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,407,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,339,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,243,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,240,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,64,No Rating,46000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,16,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,470,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,17,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,140,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,75,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,496,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,260,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,442,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,230,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,126,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,114,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,176,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,5,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,226,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,387,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,236,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,161,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,440,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,104,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,427,4.9,189000
